,steamid,appid,playtime_forever
523,76561198067832559,334940,0
524,76561198067832559,345520,469
525,76561198067832559,339280,142
526,76561198067832559,39120,151
527,76561198067832559,364470,853
528,76561198067832559,365720,1
529,76561198067832559,238370,49
530,76561198067832559,397080,0
531,76561198067832559,322330,783
532,76561198067832559,384180,42
533,76561198067832559,386360,7258
534,76561198067832559,858460,0
535,76561198067832559,386940,58
536,76561198067832559,291550,188
537,76561198067832559,389730,5388
538,76561198067832559,391720,0
539,76561198067832559,396710,0
540,76561198067832559,397540,0
541,76561198067832559,365450,0
542,76561198067832559,299360,610
543,76561198067832559,225540,457
544,76561198067832559,416450,22
545,76561198067832559,349040,1183
546,76561198067832559,359550,24817
547,76561198067832559,623990,0
548,76561198067832559,431960,339
549,76561198067832559,434170,287
550,76561198067832559,444090,3899
551,76561198067832559,596350,0
552,76561198067832559,449540,23
553,76561198067832559,464920,128
554,76561198067832559,477160,358
555,76561198067832559,48000,34
556,76561198067832559,403640,0
557,76561198067832559,273350,75
558,76561198067832559,503560,0
559,76561198067832559,319630,60
560,76561198067832559,397060,295
561,76561198067832559,522240,0
562,76561198067832559,292030,6052
563,76561198067832559,324810,0
564,76561198067832559,7670,0
565,76561198067832559,8850,0
566,76561198067832559,8870,0
567,76561198067832559,409710,0
568,76561198067832559,409720,0
569,76561198067832559,307780,1869
570,76561198067832559,534500,0
571,76561198067832559,539730,1
572,76561198067832559,542970,0
573,76561198067832559,542971,1
574,76561198067832559,542972,0
575,76561198067832559,542974,0
576,76561198067832559,542975,0
577,76561198067832559,1017170,0
578,76561198067832559,544730,0
579,76561198067832559,469820,199
580,76561198067832559,550210,0
581,76561198067832559,550650,621
582,76561198067832559,444200,51
583,76561198067832559,8500,82
584,76561198067832559,436520,209
585,76561198067832559,578080,14147
586,76561198067832559,588430,88
587,76561198067832559,588650,277
588,76561198067832559,589870,41
589,76561198067832559,304390,2895
590,76561198067832559,654310,0
591,76561198067832559,594650,366
592,76561198067832559,770720,0
593,76561198067832559,306130,663
594,76561198067832559,219640,24
595,76561198067832559,559460,117
596,76561198067832559,629760,969
597,76561198067832559,632360,4336
598,76561198067832559,386180,300
599,76561198067832559,394230,0
600,76561198067832559,20500,0
601,76561198067832559,667720,0
602,76561198067832559,674940,427
603,76561198067832559,677620,150
604,76561198067832559,718560,79
605,76561198067832559,436180,0
606,76561198067832559,38400,25
607,76561198067832559,427460,0
608,76561198067832559,504370,948
609,76561198067832559,755790,458
610,76561198067832559,757310,21
611,76561198067832559,231430,0
612,76561198067832559,379430,129
613,76561198067832559,774861,226
614,76561198067832559,209670,0
615,76561198067832559,809960,21
616,76561198067832559,813820,700
617,76561198067832559,878760,0
618,76561198067832559,433850,29
619,76561198067832559,439700,0
620,76561198067832559,552500,267
621,76561198067832559,737010,0
